Wortkategorie,Wort,flavor,Numerus,klassisch/modern
Phrase,KANNST DU ES FÜHLEN?,,,
Phrase,Autopoietische Feedbackschleife,,,
Phrase,KATHARSIS LOL,,,
Phrase,Langsam kommen Zweifel auf,,,
Phrase,HAHA,,,
Phrase,erregendes moment.,,,
Phrase,CONTENT CONTENT CONTENT,,,
Phrase,lol,,,
Phrase,idk,,,
Phrase,Es wird schlimmer.,,,
Phrase,Ein Geheimnis wird enthüllt,,,
Phrase,Die Maske fällt,,,
Phrase,Jemand ist nicht wer jemand zu sein scheint,,,
Phrase,TRAGIK,,,
Phrase,KOMIK,,,
Phrase,WENDEPUNKT,,,
Phrase,früher war mehr lametta,,,
Phrase,DEMUT VOR DEINEN TATEN,,,
Phrase,CAT-CONTENT,,,
Richtung,in den Wald,,,
Phrase,Slowmotion.,,,
Phrase,Zeitlupe,,,
Phrase,Checker-Attitude,,,
Phrase,We are the Champions,,,
Phrase,COOLNESS,,,
Phrase,Lustige Choreo.,,,
Phrase,Chorisches Sprechen,,,
Phrase,Random Choreo,,,
Phrase,Schmutziger Chor,,,
Phrase,Wer zum Fick,,,
Phrase,MANSPLAINING ÜBER DIE ALLGEMEINE SITUATION DER WELT,,,
Phrase,Rhetorische Fragen,,,
Phrase,Allwissende Erzählhaltung,,,
Phrase,SO TUN ALS OB,,,
Phrase,Ironisches Andeuten,,,
Phrase,Resignation,,,
Phrase,Eine macht nicht mehr mit,,,
Phrase,BRÜLLT LEISE!,,,
Phrase,eine bricht aus,,,
Phrase,Süffisant,,,
Phrase,Nur die Geräusche der Bewegung,,,
Phrase,Markieren von Tanz,,,
Phrase,Stampfen,,,
Phrase,Überforderung,,,
Phrase,ALLE SEHEN IRGENDWIE GLEICH AUS,,,
Phrase,Belehrend,,,
Phrase,Loop,,,
Phrase,Am gleichen Ort,,,
Richtung,in den Wald,,,
Richtung,ins Blaue hinein,,,
Richtung,in den Park,,,
Richtung,in die Küche,,,
Richtung,die Treppe hinunter,,,
Richtung,auf die Straße,,,
Richtung,nach Hause,,,
Richtung,zur Besenkammer,,,
Richtung,ins Internet,,,
Richtung,in die Badewanne,,,
Richtung,nach draußen,,,
Richtung,hinein,,,
Richtung,zum Bus,,,
Richtung,hin und her,,,
Rolle,Ärztin,,,klassisch/modern
Rolle,Angestellte,,,klassisch/modern
Rolle,Arzt,,,klassisch/modern
Tätigkeit,lesen ein Buch,,plural,
Tätigkeit,tippen,,plural,
Tätigkeit,liest ein Buch,,singular,
Tätigkeit,spielt Klavier,,singular,
Tätigkeit,putzt,,singular,
Tätigkeit,schreibt,,singular,
Tätigkeit,malt,,singular,
Tätigkeit,krickelt,,singular,
Tätigkeit,zittert,,singular,
Tätigkeit,liest,,singular,
Tätigkeit,tippt,,singular,
Tätigkeit,tippt,,singular,
Überschrift,Teil,,,
Überschrift,Situation,,,
Überschrift,Schritt,,,
Überschrift ,Akt,,,
Verb,geht,Bewegung,singular,
Verb,geht,Bewegung,singular,
Verb,läuft,Bewegung,singular,
Verb,hüpft,Bewegung,singular,
Verb,rennt,Bewegung,singular,
Verb,kriecht,Bewegung,singular,
Verb,fliegt,Bewegung,singular,
Verb,schreitet,Bewegung,singular,
Verb,schleicht,Bewegung,singular,
Verb,tanzt,Bewegung,singular,
Verb,krabbelt,Bewegung,singular,
Verb,fährt,Bewegung,singular,
Verb,trabt,Bewegung,singular,
Verb,reist,Bewegung,singular,
Verb,gehen,Bewegung,plural,
Verb,laufen,Bewegung,plural,
Verb,hüpfen,Bewegung,plural,
Verb,rennen,Bewegung,plural,
Verb,kriechen,Bewegung,plural,
Verb,fliegen,Bewegung,plural,
Verb,schreiten,Bewegung,plural,
Verb,schleichen,Bewegung,plural,
Verb,tanzen,Bewegung,plural,
Verb,krabbeln,Bewegung,plural,
Verb,fahren,Bewegung,plural,
Verb,traben,Bewegung,plural,
Verb,reisen,Bewegung,plural,
Verb ,gehen,Bewegung,plural,
Verb,fällt um,Ding,singular,
Verb,essen,Essen,plural,
Verb,verschlingt,Essen,plural,
Verb,vernichtet,Essen,plural,
Verb,isst,Essen,singular,
Verb,verschlingt,Essen,singular,
Verb,vernichtet,Essen,singular,
Verb,verweilen,Ort,plural,
Verb,sind,Ort,plural,
Verb,stehen,Ort,plural,
Verb,liegen,Ort,plural,
Verb,ist,Ort,singular,
Verb,befindet sich,Ort,singular,
Verb,steht,Ort,singular,
Verb,verweilt,Ort,singular,
Verb ,liegt,Ort,singular,
Verb,umarmt,Relation,plural,
Verb,bedanken sich bei,Relation,plural,
Verb,umarmen,Relation,singular,
Verb,bedankt sich bei,Relation,singular,
Verb,schreien,Stimme,plural,
Verb,lachen ,Stimme,plural,
Verb,schreien,Stimme,plural,
Verb,kichern,Stimme,plural,
Verb,schluchzen,Stimme,plural,
Verb,singen,Stimme,plural,
Verb,juchzen,Stimme,plural,
Verb,gähnen,Stimme,plural,
Verb,summen,Stimme,plural,
Verb,quietschen,Stimme,plural,
Verb,schreit,Stimme,singular,
Verb,lacht,Stimme,singular,
Verb,schreit,Stimme,singular,
Verb,kichert,Stimme,singular,
Verb,schluchzt,Stimme,singular,
Verb,singt,Stimme,singular,
Verb,juchzt,Stimme,singular,
Verb,gähnt,Stimme,singular,
Verb,summt,Stimme,singular,
Verb,quietscht,Stimme,singular,
Verb,geht an,Technik,singular,
Verb,läuft ,Technik,singular,
Verb,geht an,Technik,singular,
Verb,geht aus,Technik,singular,
Verb,flackert,Technik,singular,
Verb,summt,Technik,singular,
Verb,quietscht,Technik,singular,
Verb,hängt,Technik,singular,
Verb,gibt ein Geräusch von sich,Technik,singular,
Verb,gluckert,Technik,singular,
Verb,fährt weg,Technik,singular,
Verb,stürzt ab,Technik,singular,
Verb,fliegt weg,Technik,singular,
Verb,startet,Technik,singular,
Verb,schwimmt,Technik,singular,
Wort,Sirenen,,,
Wort,Verkehrslärm,,,
Wort,Vogelgezwitscher,,,
Wort,Anruf,,,
Wort,Skype,,,
Wort,SMS,,,
Wort,Ein Knall.,,,
Wort,Stille,,,
Zeit,lange,,,
Zeit,eine Stunde,,,
Zeit,zwei Wochen,,,
Zeit,eine gefühlte Ewigkeit,,,
Zeit,für immer,,,
Zeit,für eine kurze Zeit,,,
Zeit,einen kompletten Tag,,,
Zeit,für fünf Minuten,,,
Zeit,zwischendurch,,,
Zeit,währenddessen,,,
Zeit,in der Zwischenzeit,,,
Zeit,beinahe gleichzeitig,,,
Zeit,kurz,,,
Zeit,sehr lange,,,
Zeit,eine Weile,,,
Zeit,ein paar mal,,,
Zeit,plötzlich,,,
Zeit,sofort,,,
Zeit,schnell,,,
Zeit,langsam,,,
Zeit,am Abend,,,klassisch/modern
Wetter,Graupelschauer,,,
Wetter,Die Sonne scheint,,,
Wetter,"Es ist bewölkt, aber schwülwarm",,,
Wetter,Ein nahezu tropischer Sommertag,,,
Wetter,winterlich kalt und sonnig,,,
Wetter,Es regnet Bindfäden,,,
Wetter,Gewitter ,,,
Ort,in einer alten Schule,,,
Ort,Wüste irgendwo in Nevada,,,
Ort,Unter Tage in stillgelegter Zeche im Ruhrgebiet,,,
Ort,mitten im Nirgendwo,,,
Ort,Berlin,,,
Ort,eine mittelgroße Kleinstadt irgendwo in Brandenburg,,,
Ort,in einer Kleinstadt in Mecklenburg-Vorpommern,,,
Ort,Auf einem Schiff im Südpazifik,,,
Ort,In New York,,,
Ort,auf einer Finca in Italien,,,
Ort,auf einem Fabrikgelände,,,
Ort,im Spreewald,,,
Objekt,Besitz,Motiv,,
Objekt,Gerechtigkeit,Motiv,,
Objekt,Bewunderung,Motiv,,
Objekt,Macht,Motiv,,
Objekt,Freiheit,Motiv,,
Objekt,Unabhängigkeit,Motiv,,
Objekt,Pizza,Motiv,,
Objekt,Liebe,Motiv,,
Objekt,Süßkram,Motiv,,
Objekt,Katzen,Motiv,,
Objekt,Natur,Motiv,,
Objekt,Geld,Motiv,,
Objekt,Wissen,Motiv,,
Objekt,Austausch,Motiv,,
Objekt,Politik,Thema,,
Objekt,Popmusik,Thema,,
Objekt,einen Film,Thema,,
Objekt,Nihilismus,Thema,,
Objekt,Theater,Thema,,
Objekt,Aliens,Thema,,
Objekt,Technik,Thema,,
Objekt,Katzen,Thema,,
Objekt,Arbeit,Thema,,
Objekt,Gesundheit,Thema,,
Objekt,Umweltschutz,Thema,,
Objekt,soziale Netzwerke,Thema,,
Ziel,die Weltherrschaft,,,
Ziel,etwas revolutionieren,,,
Ziel,Kuchen backen,,,
Ziel,Zeit verbringen,,,
Ziel,einen Plan aushecken,,,
Ziel,Sport machen,,,
Ziel,etwas kochen,,,
Song,"""Killing me softly""",,,
Song,"""Killing in the Name of""",,,
Song,"""Like a virgin""",,,
Song,"""Positions""",,,
Song,"""Fell in love with an alien""",,,
Song,"""Last Christmas""",,,
Song,"""I will always love you""",,,
Fortbewegungsmittel,Sprungfedern,,,
Fortbewegungsmittel,Elektro Auto,,,
Fortbewegungsmittel,Flugzeug,,,
Fortbewegungsmittel,Space Shuttle,,,
Fortbewegungsmittel,Pferdekutsche,,,
Fortbewegungsmittel,Robotik-Droschke,,,
Fortbewegungsmittel,Füße,,,
Fortbewegungsmittel,Fahrrad,,,
Fortbewegungsmittel,beamen,,,
Fortbewegungsmittel,Boot,,,
Fortbewegungsmittel,Zug,,,
Fortbewegungsmittel,Segelyacht,,,
Fortbewegungsmittel,Hovercraft ,,,
Ortsbestimmung,im Büro,,,klassisch/modern
Ortsbestimmung,im Bad,,,klassisch/modern
Objekt,Die Bahn,Technik,,modern
Ortsbestimmung,am Bahnhof,,,modern
Ortsbestimmung,am Bahnsteig,,,modern
Ortsbestimmung,auf dem Balkon,,,klassisch/modern
Objekt,Bananenbrot,Essen,,klassisch/modern
Ortsbestimmung,auf der Bank,,,klassisch/modern
Objekt,Die Batterie,Technik,,modern
Objekt,Ein Baum,Pflanzen,,klassisch/modern
Rolle,Beamte,,,klassisch/modern
Rolle,Beamtin,,,klassisch/modern
Rolle,Eine Bekannte,,,klassisch/modern
Orstbestimmung,auf einem Berg,,,klassisch/modern
Ortsbestimmung,in der Berufsschule,,,klassisch/modern
Richtung,zum Bett,,,klassisch/modern
Objekt,Bier,Essen,,klassisch/modern
Objekt,Ein Bild,,,klassisch/modern
Objekt,Der Bildschirm,Technik,,modern
Objekt,eine Birne,Essen,,klassisch/modern
Objekt,Der Bleistift,,,klassisch/modern
Objekt,eine Blume,Pflanze,,klassisch/modern
Phrase,Blut spritzt.,,,klassisch/modern
Objekt,ein Brötchen,Essen,,
Objekt,Der Brief,,,klassisch/modern
Objekt,Der Briefkasten,,,klassisch/modern
Objekt,die Briefmarke,,,klassisch/modern
Objekt ,die Brieftasche,,,klassisch/modern
Objekt,Der Briefumschlag,,,klassisch/modern
Objekt,eine Brille,,,klassisch/modern
Objekt,ein Brot,Essen,,klassisch/modern
Beziehung,Bruder,Rollen,,
Objekt,Buch,,,klassisch/modern
Objekt,viel Butter,Essen,,klassisch/modern
Beziehung,sind BFFs,,,
Beziehung,"haben einen ungeklärten Konflikt aus der Vergangenheit, der bis heute konsequenzen hat",,,
Beziehung,sind Geschwister,,,
Beziehung,"kennen sich nur flüchtig, finden sich aber sympathisch",,,
Beziehung,"kennen sich nur flüchtig, haben schlimme Sachen übereinander gehört",,,
Beziehung,"gehören zur gleichen Clique, fanden sich aber noch nie interessant",,,
Beziehung,sind verknallt,,,
Beziehung,"sind voll verknallt, aber beide schon an wen anders vergeben",,,
Beziehung,sind gut befreundet,,,
Beziehung,sind Arbeitskolleg*innen,,,
Beziehung,"kennen sich noch aus der Schule, damals mochten sie sich nicht, weil beide in Petra Weißenfels verliebt waren",,,
Beziehung,bonden weil beide gerne gemusterte Schuhe tragen,,,
Beziehung,kennen sich gar nicht,,,
Beziehung,"haben sich bisher einmal auf einer Party gesehen, auf dem Klo",,,
Beziehung,wohnen zusammen,,,
Beziehung,haben den gleichen Hausarzt,,,
Beziehung,sehen sich jeden morgen im Bus,,,
Beziehung,kennen sich schon eine gefühlte Ewigkeit,,,
Beziehung,haben schonmal voneinander geträumt,,,
Beziehung,sprechen nicht mehr miteinander,,,
Beziehung,spüren beide das Kribbeln,,,
Beziehung,mögen beide Pflanzen und tauschen sich regelmäßig darüber aus,,,
Beziehung,ihre Großmütter sind beide im gleichen Pflegeheim,,,
Beziehung,sind beide Hunde-Menschen,,,
Beziehung,mögen sich nicht,,,
Beziehung,sind in einer Band,,,
Beziehung,kennen sich von Parties,,,
Beziehung,bewegen sich in ähnlichen beruflichen Kreisen,,,
Datum,13.12.2025,,,
Datum,01.05.2030,,,
Datum,17.10.2032,,,
Datum,04.05.2050,,,
Datum,22.02.2040,,,
Datum,03.02.2043,,,
Datum,03.07.2060,,,
Rolle,wohnt im Wald,,,
Rolle,ist vor kurzem umgezogen,,,
Rolle,verträgt kein Gluten,,,
Rolle,besteht zu 30% aus Metall,,,
Rolle,kann unter Wasser atmen,,,
Rolle,kann fliegen,,,
Rolle,ist magisch,,,
Rolle,spielt Bass,,,
Rolle,hasst Gedichte,,,
Rolle,ist verliebt,,,
Rolle,funktioniert über eine Festplatte,,,
Rolle,hat alles von Hegel gelesen,,,
Rolle,liebt BTS,,,
Rolle,trinkt jeden morgen einen Smoothie,,,
Rolle,hasst Theater,,,
Rolle,liebt Theater,,,
Rolle,hat seit einem Monat einen neuen Job,,,
Rolle,arbeitet im Gesundheitswesen,,,
Rolle,verdient mit schreiben Geld,,,
Rolle,glaubt an ein Leben nach dem Tod,,,
Rolle,besitzt einen Schrebergarten,,,
Rolle,programmiert in der Freizeit eigene Videospiele,,,
Rolle,hat einen Soda-Stream,,,
Rolle,hat viel Geld,,,
Rolle,hat wenig Geld,,,
Rolle,hat ok viel Geld,,,
Rolle,verliebt sich zu schnell,,,
Rolle,fragt sich was Liebe ist,,,
